year,stname,fem15,fem16,fem17,fem18,fem19,fem20,fem21,fem22,fem23,fem24,fem25,fem26,fem27,fem28,fem29,fem30,fem31,fem32,fem33,fem34,fem35,fem36,fem37,fem38,fem39,fem40,fem41,fem42,fem43,fem44,fem1519,fem2034,fem3544,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819
2000,AK,5475,5103,5159,4195,3848,3914,3725,3716,3756,3714,4019,3954,4029,4098,4524,4530,4420,4337,4414,4597,5079,5188,5499,5595,5689,5778,5583,5791,5863,5572,23780,61747,55637,0.2302354872226715,0.2145920991897583,0.2169470191001892,0.17640875279903412,0.16181665658950806,0.06338769197463989,0.060326818376779556,0.060181062668561935,0.06082886457443237,0.06014867126941681,0.0650881826877594,0.06403549760580063,0.06525013595819473,0.06636759638786316,0.07326671481132507,0.07336388528347015,0.07158242166042328,0.07023823261260986,0.0714852511882782,0.07444895803928375,0.09128817170858383,0.09324730187654495,0.09883710741996765,0.10056257247924805,0.10225209593772888,0.10385175049304962,0.1003468930721283,0.10408540815114975,0.10537951439619064,0.10014918446540833,0.33822542428970337
2001,AK,5446,5480,5063,4733,3899,3974,4101,3894,3855,3844,3826,4014,3952,3926,4091,4532,4524,4481,4365,4424,4636,5021,5157,5459,5510,5677,5681,5550,5726,5788,24621,61803,54205,0.22119328379631042,0.22257421910762787,0.20563746988773346,0.19223427772521973,0.15836074948310852,0.06430108845233917,0.06635600328445435,0.06300664693117142,0.06237561255693436,0.06219762936234474,0.06190637871623039,0.06494830548763275,0.06394511461257935,0.06352442502975464,0.06619419902563095,0.07332977652549744,0.07320033013820648,0.07250457257032394,0.07062763720750809,0.07158228754997253,0.08552716672420502,0.0926298275589943,0.09513882547616959,0.10071026533842087,0.1016511395573616,0.10473203659057617,0.1048058271408081,0.10238907486200333,0.10563600808382034,0.10677981376647949,0.35059502720832825
2002,AK,5340,5418,5464,4640,4353,4108,4127,4302,4104,4028,3942,3944,3994,3958,4014,4153,4489,4546,4512,4373,4517,4546,5046,5157,5430,5551,5556,5663,5521,5693,25215,62594,52680,0.2117787003517151,0.2148721069097519,0.21669641137123108,0.18401744961738586,0.17263533174991608,0.06562929600477219,0.06593284010887146,0.06872863322496414,0.06556539237499237,0.06435121595859528,0.06297728419303894,0.06300923228263855,0.06380803138017654,0.0632328987121582,0.06412754952907562,0.06634820997714996,0.07171613723039627,0.07262676954269409,0.07208358496427536,0.06986292451620102,0.08574411273002625,0.08629460632801056,0.09578587859869003,0.09789294004440308,0.10307516902685165,0.10537205636501312,0.10546696931123734,0.10749810189008713,0.10480257868766785,0.1080675795674324,0.35665279626846313
2003,AK,5521,5325,5352,5056,4260,4588,4321,4254,4413,4207,4198,4051,3972,3985,4028,4074,4111,4591,4600,4497,4446,4441,4495,5060,5128,5530,5432,5574,5635,5497,25514,63890,51238,0.21639099717140198,0.20870894193649292,0.2097671926021576,0.19816571474075317,0.16696715354919434,0.07181092351675034,0.06763187050819397,0.06658318638801575,0.06907184422016144,0.06584755331277847,0.06570668518543243,0.06340585649013519,0.062169354408979416,0.062372829765081406,0.06304585933685303,0.06376584619283676,0.06434496492147446,0.07185787707567215,0.07199874520301819,0.070386603474617,0.08677154034376144,0.08667395263910294,0.0877278596162796,0.09875483065843582,0.10008197277784348,0.10792770981788635,0.10601506382226944,0.1087864488363266,0.10997696965932846,0.10728365927934647,0.3651328682899475
2004,AK,5449,5491,5247,4968,4589,4452,4764,4527,4454,4691,4348,4261,4123,3942,4078,4119,4092,4217,4663,4533,4585,4396,4474,4505,4998,5261,5394,5455,5596,5649,25744,65264,50313,0.2116609662771225,0.2132924199104309,0.20381447672843933,0.19297701120376587,0.1782551258802414,0.0682152509689331,0.07299583405256271,0.06936442852020264,0.06824589520692825,0.07187730073928833,0.06662172079086304,0.06528867036104202,0.06317418813705444,0.0604008324444294,0.062484677881002426,0.06311289221048355,0.06269919127225876,0.06461448967456818,0.07144827395677567,0.06945636123418808,0.09112952649593353,0.0873730480670929,0.08892334252595901,0.08953948318958282,0.09933814406394958,0.10456541925668716,0.10720887035131454,0.10842128098011017,0.1112237423658371,0.11227714270353317,0.37123215198516846
2005,AK,5843,5409,5434,4903,4413,4697,4536,4953,4705,4700,4706,4468,4372,4076,4068,4150,4056,4213,4271,4618,4588,4465,4395,4446,4488,5092,5060,5412,5445,5602,26002,66589,48993,0.2247134894132614,0.20802246034145355,0.20898392796516418,0.18856242299079895,0.1697177141904831,0.07053717225790024,0.0681193619966507,0.07438165694475174,0.07065731287002563,0.07058222591876984,0.07067233324050903,0.06709817051887512,0.06565649062395096,0.06121131032705307,0.06109116971492767,0.06232260540127754,0.06091096252202988,0.06326870620250702,0.064139723777771,0.06935079395771027,0.09364603459835052,0.09113546460866928,0.08970668911933899,0.0907476544380188,0.09160492569208145,0.10393321514129639,0.10328005999326706,0.11046475917100906,0.11113832890987396,0.11434286832809448,0.35828012228012085
2006,AK,5680,5874,5373,5067,4329,4513,4900,4730,5167,4951,4773,4787,4407,4378,4190,4137,4101,4173,4316,4293,4791,4519,4529,4422,4477,4630,4901,5051,5429,5477,26323,67816,48226,0.21578086912631989,0.2231508493423462,0.20411807298660278,0.1924932599067688,0.16445693373680115,0.06654771417379379,0.07225433737039566,0.06974755227565765,0.07619146257638931,0.07300636917352676,0.07038161903619766,0.07058805972337723,0.06498466432094574,0.0645570382475853,0.06178482994437218,0.06100330129265785,0.060472454875707626,0.061534151434898376,0.06364279985427856,0.063303641974926,0.09934475272893906,0.09370464086532593,0.09391199797391891,0.09169327467679977,0.0928337424993515,0.09600630402565002,0.10162568092346191,0.10473603755235672,0.11257413029670715,0.11356944590806961,0.35695019364356995
2007,AK,5338,5650,5666,4997,4404,4450,4589,5098,4817,5382,4929,4853,4811,4308,4497,4245,4013,4225,4249,4241,4407,4749,4523,4523,4409,4692,4314,4877,5012,5419,26055,68707,46925,0.20487430691719055,0.2168489694595337,0.21746306121349335,0.19178660213947296,0.16902706027030945,0.06476778537034988,0.0667908638715744,0.0741991326212883,0.0701093077659607,0.07833263278007507,0.07173941284418106,0.07063326984643936,0.07002197951078415,0.0627010315656662,0.06545184552669525,0.06178409606218338,0.05840744078159332,0.061493005603551865,0.06184231489896774,0.061725880950689316,0.09391582012176514,0.101204052567482,0.09638785570859909,0.09638785570859909,0.09395844489336014,0.09998934715986252,0.09193393588066101,0.10393180698156357,0.10680873692035675,0.1154821515083313,0.3608136773109436
2008,AK,5198,5260,5399,5435,4393,4568,4565,4691,5136,5024,5231,5037,4799,4784,4472,4587,4148,4090,4280,4135,4371,4266,4731,4514,4448,4557,4394,4340,4886,5008,25685,69547,45515,0.2023749202489853,0.20478878915309906,0.2102005034685135,0.2116021066904068,0.17103368043899536,0.06568220257759094,0.06563906371593475,0.06745079159736633,0.07384934276342392,0.07223891466856003,0.07521532475948334,0.07242584228515625,0.06900369375944138,0.06878801435232162,0.06430184096097946,0.06595540046691895,0.05964311957359314,0.058809150010347366,0.0615411177277565,0.059456195682287216,0.09603427350521088,0.09372734278440475,0.10394375771284103,0.09917609393596649,0.09772602468729019,0.10012084245681763,0.09653960168361664,0.09535317867994308,0.1073492243885994,0.1100296601653099,0.38263577222824097
2009,AK,5186,5268,5190,5223,4735,4580,4798,4759,4741,5484,5006,5366,5143,4790,4978,4606,4553,4423,4263,4240,4379,4282,4329,4770,4508,4707,4314,4461,4405,5021,25602,71730,45176,0.20256230235099792,0.20576517283916473,0.20271854102611542,0.20400750637054443,0.18494649231433868,0.06385055184364319,0.06688972562551498,0.06634601950645447,0.06609507650136948,0.07645336538553238,0.06978949159383774,0.07480830699205399,0.07169942557811737,0.06677819788455963,0.06939913332462311,0.06421302258968353,0.063474141061306,0.06166178733110428,0.05943119898438454,0.059110552072525024,0.09693200141191483,0.09478484094142914,0.09582521766424179,0.10558703541755676,0.09978749603033066,0.10419248789548874,0.09549318253993988,0.098747119307518,0.0975075289607048,0.1111430823802948,0.3889539837837219
