year,stname,fem15,fem16,fem17,fem18,fem19,fem20,fem21,fem22,fem23,fem24,fem25,fem26,fem27,fem28,fem29,fem30,fem31,fem32,fem33,fem34,fem35,fem36,fem37,fem38,fem39,fem40,fem41,fem42,fem43,fem44,fem1519,fem2034,fem3544,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819
1999,FL,96972,98001,95990,94780,96155,92472,87966,87774,85976,88835,89971,91149,98591,105445,105987,106469,101115,107881,110491,118980,126362,126603,125525,124714,126162,127084,120793,122402,118104,115492,481898,1479102,1233241,0.2012293040752411,0.20336461067199707,0.19919152557849884,0.19668062031269073,0.19953392446041107,0.06251901388168335,0.059472572058439255,0.05934276431798935,0.058127161115407944,0.06006009131669998,0.06082812324166298,0.06162455305457115,0.06665598601102829,0.07128987461328506,0.07165631651878357,0.07198219001293182,0.06836242228746414,0.07293682545423508,0.07470140606164932,0.0804407000541687,0.10246334969997406,0.10265876352787018,0.10178464651107788,0.101127028465271,0.10230117291212082,0.10304879397153854,0.0979476049542427,0.09925229847431183,0.09576717019081116,0.09364917129278183,0.3962145447731018
2000,FL,101370,98745,98038,98553,98344,97849,91465,90205,90516,87881,92249,90750,95604,102453,108345,110825,104226,105137,107814,112872,122994,126776,125945,126087,128032,130090,124242,124545,123762,118670,495050,1488191,1251143,0.20476719737052917,0.19946469366550446,0.1980365663766861,0.19907686114311218,0.1986546814441681,0.06575029343366623,0.061460524797439575,0.060613859444856644,0.06082283705472946,0.0590522326529026,0.061987340450286865,0.06098007410764694,0.06424175202846527,0.06884398311376572,0.07280315458774567,0.07446961104869843,0.07003536820411682,0.07064751535654068,0.07244634628295898,0.07584509998559952,0.09830530732870102,0.10132814198732376,0.10066395252943039,0.10077744722366333,0.10233202576637268,0.10397692024707794,0.09930279850959778,0.09954497963190079,0.09891914576292038,0.09484926611185074,0.3977315425872803
2001,FL,102832,103306,100974,97175,98810,103739,101566,95209,93983,93168,90072,94507,93248,97573,103986,110618,112718,106598,107167,110141,115273,125318,128973,128270,128036,129905,131969,126133,126377,125080,503097,1514293,1265334,0.20439796149730682,0.20534011721611023,0.20070482790470123,0.19315360486507416,0.19640347361564636,0.06850655376911163,0.06707156449556351,0.06287356466054916,0.062063947319984436,0.06152574345469475,0.05948122218251228,0.062409982085227966,0.061578571796417236,0.06443469226360321,0.06866966933012009,0.07304926961660385,0.07443605363368988,0.07039456814527512,0.07077032327651978,0.0727342739701271,0.09110084921121597,0.0990394651889801,0.10192802548408508,0.10137244313955307,0.10118751227855682,0.10266458988189697,0.10429578274488449,0.09968356043100357,0.09987639635801315,0.09885136783123016,0.3895570635795593
2002,FL,105392,104921,105495,100556,98084,103560,107457,105396,99317,96779,95928,92598,97449,95338,99244,106950,112754,115733,109024,109812,112515,117941,127580,131550,130432,130256,132076,134004,128138,127782,514448,1547339,1272274,0.2048642486333847,0.20394869148731232,0.20506446063518524,0.1954638808965683,0.19065871834754944,0.06692780554294586,0.06944631785154343,0.06811435520648956,0.06418567895889282,0.06254544109106064,0.06199546530842781,0.059843383729457855,0.06297843903303146,0.06161416321992874,0.0641385018825531,0.06911866366863251,0.07286961376667023,0.07479485869407654,0.0704590231180191,0.07096828520298004,0.08843614161014557,0.09270094335079193,0.1002771407365799,0.10339754074811935,0.10251879692077637,0.10238046199083328,0.10381097346544266,0.10532636940479279,0.10071572661399841,0.10043591260910034,0.38612258434295654
2003,FL,109153,106898,106988,105334,101364,102215,107017,110820,109020,101709,99218,97626,95329,99066,96381,102140,108599,116087,117824,111499,112105,114843,119971,129872,133511,132564,132140,133903,135991,128959,529737,1574550,1273859,0.206051304936409,0.20179447531700134,0.2019643783569336,0.19884206354618073,0.19134777784347534,0.06491696089506149,0.06796672195196152,0.0703820139169693,0.0692388266324997,0.06459560245275497,0.06301356106996536,0.062002476304769516,0.06054364889860153,0.06291702389717102,0.06121177598834038,0.06486932933330536,0.06897145509719849,0.0737270936369896,0.07483027130365372,0.07081324607133865,0.08800424635410309,0.09015361964702606,0.0941791832447052,0.10195162892341614,0.10480830073356628,0.10406488925218582,0.10373204201459885,0.10511603206396103,0.10675514489412308,0.10123490542173386,0.3901898264884949
2004,FL,113044,111196,109488,108004,106765,106105,106360,110983,115237,112118,105126,101638,101381,97326,100126,100552,104320,113204,119063,120853,114424,115163,117466,123188,132770,136041,135024,134460,136656,137429,548497,1614392,1282621,0.20609775185585022,0.20272855460643768,0.19961458444595337,0.19690901041030884,0.19465011358261108,0.0657244324684143,0.06588238477706909,0.06874600797891617,0.07138105481863022,0.0694490522146225,0.06511801481246948,0.06295745074748993,0.06279825419187546,0.060286473482847214,0.06202087178826332,0.06228474900126457,0.06461875140666962,0.07012175768613815,0.07375098764896393,0.07485976070165634,0.08921107649803162,0.08978723734617233,0.0915827825665474,0.09604395925998688,0.10351459681987762,0.10606484860181808,0.10527194291353226,0.10483221709728241,0.10654433071613312,0.10714700818061829,0.3915591239929199
2005,FL,120590,115556,113833,110916,109656,111176,110330,109847,115343,118428,116014,107118,105810,103016,98439,104932,102922,109266,116338,122711,124234,117786,117968,120484,125949,135628,138913,137662,137420,138213,570551,1651690,1294257,0.21135708689689636,0.2025340348482132,0.19951415061950684,0.1944015473127365,0.1921931654214859,0.06731045246124268,0.06679824739694595,0.06650581955909729,0.06983332335948944,0.07170110940933228,0.07023957371711731,0.064853571355342865,0.06406165659427643,0.06237005814909935,0.059598956257104874,0.0635300800204277,0.06231314688920975,0.06615406274795532,0.07043573260307312,0.07429420948028564,0.09598866105079651,0.09100665152072906,0.0911472737789154,0.09309124946594238,0.09731374680995941,0.10479217022657394,0.1073303073644638,0.10636372864246368,0.10617674887180328,0.10678945481777191,0.3865947127342224
2006,FL,119886,122700,117952,115623,112557,114032,114970,114157,113775,117612,121947,117115,110653,106488,103010,103086,106229,107463,111177,119043,125209,126751,119674,120349,122426,128028,137516,140586,139894,137830,588718,1680757,1298263,0.20363909006118774,0.20841896533966064,0.20035399496555328,0.19639793038368225,0.19119000434875488,0.06784562021493912,0.0684036985039711,0.06791999191045761,0.06769271194934845,0.06997561454772949,0.0725548043847084,0.06967990845441818,0.06583521515130997,0.0633571669459343,0.061287861317396164,0.061333078891038895,0.06320306658744812,0.06393726170063019,0.06614697724580765,0.07082701474428177,0.09644348174333572,0.09763121604919434,0.09218008816242218,0.09270001202821732,0.09429984539747238,0.09861484169960022,0.10592307150363922,0.1082877665758133,0.10775474458932877,0.10616493225097656,0.38758793473243713
2007,FL,116946,120923,124108,119480,116579,115590,116778,116850,117114,114995,119546,120931,119398,109417,104728,106721,102753,109824,107910,112513,119956,126374,127211,120806,121070,122968,128572,137833,141863,138895,598036,1695068,1285548,0.1955500990152359,0.20220020413398743,0.20752596855163574,0.19978730380535126,0.19493642449378967,0.06819195300340652,0.06889281421899796,0.06893528997898102,0.06909103691577911,0.06784093379974365,0.07052578777074814,0.07134286314249039,0.07043847441673279,0.06455021351575851,0.06178395077586174,0.0629597157239914,0.060618806630373,0.06479032337665558,0.06366116553544998,0.0663766860961914,0.09331117570400238,0.09830360114574432,0.0989546850323677,0.09397237747907639,0.0941777378320694,0.09565415233373642,0.1000133827328682,0.10721731185913086,0.11035215854644775,0.10804341733455658,0.39472371339797974
2008,FL,115795,117636,122308,126211,120409,118576,117652,117226,117809,117310,116577,117419,122635,117159,106755,108457,106095,106253,109776,108930,113273,121205,126433,128477,121458,121572,123474,128898,138953,140326,602359,1708629,1264069,0.19223585724830627,0.1952921748161316,0.20304834842681885,0.2095278799533844,0.1998957395553589,0.06939832866191864,0.06885754317045212,0.06860822439193726,0.06894943118095398,0.06865738332271576,0.06822838634252548,0.06872118264436722,0.07177391648292542,0.06856901198625565,0.06247991696000099,0.06347604095935822,0.062093645334243774,0.062186114490032196,0.06424800306558609,0.06375286728143692,0.08960982412099838,0.09588479995727539,0.1000206470489502,0.10163764655590057,0.09608494490385056,0.09617512673139572,0.09767979383468628,0.10197070240974426,0.10992517322301865,0.11101134866476059,0.4094236195087433
2009,FL,115055,116425,118599,124615,126839,121633,119806,116965,117593,117149,118681,114091,118955,119512,113431,110562,107132,109994,106201,110915,109713,114429,121304,127624,129020,121978,122003,123528,130033,137238,601533,1722620,1236870,0.1912696361541748,0.19354715943336487,0.1971612572669983,0.20716236531734467,0.21085958182811737,0.07060930132865906,0.06954871118068695,0.06789948046207428,0.06826403737068176,0.06800629198551178,0.06889563798904419,0.06623108685016632,0.06905469298362732,0.06937804073095322,0.0658479556441307,0.06418246775865555,0.06219131499528885,0.06385273486375809,0.06165085732936859,0.06438738852739334,0.08870212733745575,0.09251497685909271,0.09807336330413818,0.10318303108215332,0.10431168973445892,0.098618283867836,0.09863849729299545,0.0998714491724968,0.10513069480657578,0.11095587909221649,0.41802194714546204
2010,FL,113619,115840,117870,120938,124799,128380,123136,120079,118026,117774,119392,116111,117471,117533,115773,117644,110959,110758,110649,108128,112181,111382,115527,122277,128915,129699,123186,122414,125151,129047,593066,1751813,1219779,0.19157901406288147,0.19532395899295807,0.19874684512615204,0.20391996204853058,0.21043020486831665,0.0732840746641159,0.07029061019420624,0.06854555755853653,0.06737362593412399,0.06722977757453918,0.06815339624881744,0.06628047674894333,0.0670568123459816,0.06709221005439758,0.06608753651380539,0.06715556979179382,0.06333952397108078,0.06322478502988815,0.06316256523132324,0.061723481863737106,0.09196829795837402,0.09131326526403427,0.09471141546964645,0.10024520754814148,0.10568717867136002,0.10632991790771484,0.1009904220700264,0.1003575250506401,0.10260137170553207,0.10579539090394974,0.41435015201568604
2011,FL,112419,114533,117223,114771,118890,128694,130961,126223,123031,119745,119425,120362,117334,118370,118557,116963,118983,112150,111982,111810,109536,113364,112764,116655,123109,129836,130672,123836,123116,126015,577836,1794590,1208903,0.1945517361164093,0.1982102245092392,0.20286552608013153,0.19862210750579834,0.20575042068958282,0.0717122033238411,0.07297544181346893,0.070335283875465393,0.06855660676956177,0.06672554463148117,0.06654723733663559,0.06706935912370682,0.06538206338882446,0.06595935672521591,0.06606356054544449,0.06517533212900162,0.06630093604326248,0.06249338388442993,0.062399767339229584,0.062303923070430756,0.09060776233673096,0.09377427399158478,0.0932779535651207,0.0964965745806694,0.10183530300855637,0.1073998510837555,0.10809138417243958,0.10243666917085648,0.10184109210968018,0.10423913598060608,0.40437251329421997
2012,FL,112663,113489,115828,113324,113397,122471,131567,133974,129503,125086,121684,121002,122051,119019,120416,120345,118757,120877,113942,113820,113623,111240,115384,114344,118228,124663,131375,131789,125070,124460,568701,1834514,1210176,0.1981058567762375,0.199558287858963,0.2036711722612381,0.1992681622505188,0.1993965208530426,0.0667593702673912,0.07171763479709625,0.07302969694137573,0.07059253752231598,0.06818481534719467,0.06633037328720093,0.06595861166715622,0.06653042882680893,0.06487767398357391,0.0656391829252243,0.06560047715902328,0.06473485380411148,0.06589047610759735,0.06211018189787865,0.0620436817407608,0.09388964623212814,0.09192051738500595,0.09534481167793274,0.09448543190956116,0.09769488126039505,0.10301228612661362,0.10855858772993088,0.10890068858861923,0.10334860533475876,0.10284454375505447,0.3986646831035614
2013,FL,113527,113990,114779,113382,113557,117623,125288,134740,137055,131191,126386,122806,122311,123475,120367,121745,121792,120215,122213,115245,115024,115253,113174,116859,115971,119844,126165,132736,133182,126515,569235,1862452,1214723,0.19943784177303314,0.20025122165679932,0.20163728296756744,0.1991831213235855,0.19949054718017578,0.0631549134850502,0.06727045774459839,0.07234548777341843,0.07358847558498383,0.07043993473052979,0.06786000728607178,0.06593780964612961,0.06567202508449554,0.0662970095872879,0.0646282434463501,0.06536813080310822,0.06539336591959,0.0645466297864914,0.06561940908432007,0.061878103762865067,0.09469154477119446,0.09488006681203842,0.09316856414079666,0.09620217978954315,0.09547115117311478,0.09865953028202057,0.1038631871342659,0.10927265137434006,0.10963980853557587,0.10415131598711014,0.3986736536026001
2014,FL,114701,115135,115608,111548,112627,117790,120995,128612,137578,139076,132745,127910,124511,123761,125108,122265,123635,123627,122160,124031,116991,116784,117353,115137,118774,117816,121691,127874,134369,134877,569619,1893804,1221666,0.2013644278049469,0.20212633907794952,0.20295670628547668,0.1958291381597519,0.197723388671875,0.06219756603240967,0.06388992816209793,0.06791198998689651,0.0726463794708252,0.07343737781047821,0.07009436935186386,0.06754130870103836,0.06574650853872299,0.0653504803776741,0.06606175005435944,0.06456053256988525,0.06528394669294357,0.06527972221374512,0.06450509279966354,0.06549304723739624,0.09576348960399628,0.09559404850006104,0.09605980664491653,0.09424588829278946,0.09722296893596649,0.09643879532814026,0.09961069375276566,0.10467181354761124,0.10998832434415817,0.11040415614843369,0.3935525417327881
2015,FL,118516,116551,117152,112893,110858,116838,121211,124761,132332,139689,140984,134766,130423,126325,125954,127644,124668,125871,126093,124684,126664,119386,119432,120015,117381,121258,120208,123548,129725,136387,575970,1922243,1234004,0.2057676613330841,0.2023560255765915,0.20339947938919067,0.19600500166416168,0.19247183203697205,0.060782115906476974,0.0630570650100708,0.0649038627743721,0.06884249299764633,0.07266978919506073,0.07334348559379578,0.07010871917009354,0.06784938275814056,0.06571749597787857,0.06552449613809586,0.06640367209911346,0.06485548615455627,0.06548131257295609,0.065596804022789,0.06486380845308304,0.10264472663402557,0.09674684703350067,0.09678412973880768,0.09725657105445862,0.09512206166982651,0.09826385974884033,0.09741297364234924,0.10011961311101913,0.10512526333332062,0.11052395403385162,0.3884768486022949
2016,FL,117731,120635,118638,114384,112165,115673,120342,125193,128753,135047,142155,143379,137290,132681,128735,128581,130071,127278,128635,128962,127514,129445,122185,122330,122811,120060,123779,122649,125640,132088,583553,1952775,1248501,0.20174859464168549,0.20672501623630524,0.20330287516117096,0.19601304829120636,0.19221048057079315,0.059235189110040665,0.06162614747881889,0.06411030143499374,0.06593335419893265,0.0691564604640007,0.07279640436172485,0.07342320680618286,0.07030507922172546,0.06794484704732895,0.06592413038015366,0.06584527343511581,0.06660828739404678,0.06517801433801651,0.065872922539711,0.06604038178920746,0.10213367640972137,0.1036803349852562,0.09786535799503326,0.09798149764537811,0.09836675971746445,0.0961633175611496,0.09914208948612213,0.09823700785636902,0.1006326749920845,0.10579726845026016,0.3882235288619995
2017,FL,116012,119615,122597,115884,113849,117165,119335,123945,128778,130899,136856,143746,145392,139106,134468,130959,130571,132165,129630,131153,131434,129984,131677,124707,124819,125505,122480,125987,124262,127692,587957,1974168,1268547,0.19731375575065613,0.20344175398349762,0.208513543009758,0.197096049785614,0.19363491237163544,0.05934905260801315,0.06044824793934822,0.06278341263532639,0.06523153185844421,0.06630590558052063,0.06932338327169418,0.07281345874071121,0.07364723086357117,0.07046309858560562,0.06811375916004181,0.06633629649877548,0.06613975763320923,0.06694719195365906,0.06566310673952103,0.06643456965684891,0.10360987484455109,0.10246683657169342,0.1038014367222786,0.09830696135759354,0.09839525073766708,0.09893602877855301,0.09655141085386276,0.09931598603725433,0.09795616567134857,0.1006600484251976,0.39073097705841064
2018,FL,114024,117589,121277,119522,114815,118208,120035,122628,126887,130209,132277,138052,144708,146133,140201,135825,132215,132120,133960,131360,133203,133291,131834,133680,126911,126823,127495,124274,127269,125972,587227,1984818,1290752,0.1941736340522766,0.20024454593658447,0.20652490854263306,0.2035362869501114,0.19552063941955566,0.05955608934164047,0.060476578772068024,0.061782993376255035,0.06392878293991089,0.06560248881578445,0.06664440035820007,0.06955398619174957,0.07290744036436081,0.07362539321184158,0.07063670456409454,0.06843196600675583,0.06661316007375717,0.06656529754400253,0.06749233603477478,0.06618238985538483,0.10319798439741135,0.1032661572098732,0.10213735699653625,0.10356753319501877,0.09832330048084259,0.09825512766838074,0.09877575188875198,0.0962803065776825,0.09860066324472427,0.09759581834077835,0.39905691146850586
2019,FL,118536,114840,118795,117817,117784,118596,121018,122807,125409,128158,131116,133159,139153,145248,146996,141164,136731,133375,133294,135363,132537,134631,134477,133388,135283,128494,128241,128891,125394,128579,587772,1991587,1309915,0.20167003571987152,0.19538187980651855,0.2021106779575348,0.20044676959514618,0.20039062201976776,0.05954848974943161,0.060764607042074203,0.061662886291742325,0.0629693791270256,0.0643496885895729,0.06583493202924728,0.06686075031757355,0.06987041234970093,0.07293078303337097,0.07380847632884979,0.07088015973567963,0.06865429133176804,0.06696920841932297,0.06692853569984436,0.06796740740537643,0.10117984563112259,0.10277842730283737,0.10266085714101791,0.10182950645685196,0.10327616333961487,0.09809339046478271,0.09790024906396866,0.09839645773172379,0.09572682529687881,0.09815827757120132,0.40083739161491394
1980,GA,50235,51369,50933,51166,54213,53077,51408,51904,52803,51682,51679,50317,49683,47091,50004,48450,47638,47937,49948,38198,38270,37758,39605,34293,33505,32212,30611,29965,28800,29009,257916,741819,334028,0.19477272033691406,0.19916950166225433,0.1974790245294571,0.1983824223279953,0.2101963460445404,0.07154979556798935,0.06929992139339447,0.06996855139732361,0.07118043303489685,0.06966928392648697,0.06966523826122284,0.06782921403646469,0.06697455793619156,0.063480444252491,0.0674072802066803,0.06531243026256561,0.06421782076358795,0.06462088227272034,0.06733179092407227,0.051492344588041306,0.1145712360739708,0.11303842812776566,0.11856790632009506,0.10266504436731339,0.1003059595823288,0.09643503278493881,0.09164201468229294,0.08970804512500763,0.08622031658887863,0.0868460163474083,0.4085787534713745
1981,GA,47920,50059,50948,51051,54055,54221,51683,52354,53148,53951,52711,51648,51270,48235,50829,50541,47975,48610,47205,51697,37933,37869,38212,38737,36176,33823,31310,30834,30558,29528,254033,766078,344980,0.188636913895607,0.1970570683479309,0.20055662095546722,0.20096208155155182,0.21278731524944305,0.07077738642692566,0.06746441125869751,0.068340301513671875,0.06937674432992935,0.07042494416236877,0.06880631297826767,0.06741872429847717,0.0669253021478653,0.0629635602235794,0.06634964048862457,0.06597369909286499,0.06262417137622833,0.0634530708193779,0.061619050800800323,0.06748268753290176,0.10995709896087646,0.10977157950401306,0.11076584458351135,0.11228767037391663,0.10486405342817307,0.09804336726665497,0.09075888246297836,0.08937909454107285,0.08857905119657516,0.08559336513280869,0.4137493968009949
1982,GA,46663,47784,49720,50885,53888,53739,53042,52508,53797,54521,54799,52643,52480,49533,52041,51466,49724,48518,47769,48579,51660,37540,38381,37195,41017,36134,33037,31547,31370,31173,248940,775159,369054,0.18744677305221558,0.19194987416267395,0.19972683489322662,0.20440667867660522,0.21646983921527863,0.06932642310857773,0.06842724978923798,0.0677383616566658,0.06940124183893204,0.07033524662256241,0.07069388031959534,0.0679125189781189,0.06770224124193192,0.06390044093132019,0.06713590025901794,0.06639412045478821,0.06414683908224106,0.06259103119373322,0.06162477657198906,0.06266972422599792,0.1399795114994049,0.10171952843666077,0.1039983332157135,0.10078471153974533,0.1111409142613411,0.09790979325771332,0.08951806277036667,0.0854807123541832,0.08500111103057861,0.084467314183712,0.42087650299072266
1983,GA,45679,46551,47552,49596,53666,53760,52949,53981,54239,55542,54887,54531,53263,50451,53376,52686,50503,50121,47825,49130,49013,50970,38025,37220,39661,40754,35472,33389,32076,31988,243044,787244,388568,0.1879453957080841,0.19153322279453278,0.1956518143415451,0.204061821103096,0.2208077609539032,0.06828886270523071,0.06725869327783585,0.0685695931315422,0.0688973143696785,0.07055246084928513,0.06972043961286545,0.06926823407411575,0.06765755265951157,0.06408559530973434,0.0678010880947113,0.06692460924386978,0.06415164470672607,0.06366641074419022,0.06074990704655647,0.062407590448856354,0.12613750994205475,0.13117395341396332,0.09785932302474976,0.09578760713338852,0.10206965357065201,0.10488254576921463,0.09128904342651367,0.08592832833528519,0.08254925906658173,0.08232278376817703,0.4248695969581604
1984,GA,46789,45979,46785,47769,52729,54308,53524,54169,56228,56649,55474,54958,55418,51438,54786,54589,52075,51238,49947,49525,50199,48565,51902,37036,40095,39474,40452,36096,34023,32864,240051,804326,410706,0.19491274654865265,0.191538468003273,0.19489608705043793,0.1989952176809311,0.21965749561786652,0.0675198882818222,0.06654515862464905,0.06734707206487656,0.06990697979927063,0.07043039798736572,0.06896954774856567,0.06832801550626755,0.06889992207288742,0.06395167857408524,0.06811416894197464,0.06786924600601196,0.06474364548921585,0.0637030228972435,0.062097955495119095,0.061573293060064316,0.12222611904144287,0.1182476058602333,0.12637263536453247,0.09017642587423325,0.09762457758188248,0.09611254930496216,0.09849381446838379,0.08788768947124481,0.08284027874469757,0.0800183117389679,0.4186527132987976
1985,GA,47985,47337,46552,47276,51008,53878,54333,54648,56547,58920,55991,55886,56140,53721,56254,56410,54057,52868,51338,51861,50809,49742,49552,50376,40024,39834,39292,41101,36722,34868,240158,822852,432320,0.19980596005916595,0.19710773229599,0.19383905827999115,0.19685374200344086,0.21239350736141205,0.0654771476984024,0.0660300999879837,0.06641291826963425,0.068720743060112,0.07160461694002151,0.06804504245519638,0.06791743636131287,0.06822612136602402,0.06528634577989578,0.06836466491222382,0.06855424493551254,0.06569468230009079,0.06424970924854279,0.062390320003032684,0.06302591413259506,0.11752636730670929,0.1150582879781723,0.11461880058050156,0.11652479320764542,0.09257957339286804,0.0921400785446167,0.09088637679815292,0.09507077932357788,0.08494170755147934,0.08065322041511536,0.4092472493648529
1986,GA,49876,48714,48103,47029,50449,52124,53683,54968,56776,59033,57732,56527,57139,54404,58964,57825,55708,54777,53091,53251,52964,50059,50580,47663,54550,39737,39668,39841,41606,37472,244171,836002,454140,0.20426668226718903,0.1995077282190323,0.19700537621974945,0.1926068216562271,0.20661339163780212,0.06234913319349289,0.06421396136283875,0.06575103849172592,0.0679137110710144,0.07061346620321274,0.06905724853277206,0.06761586666107178,0.06834792345762253,0.06507639586925507,0.07053092867136002,0.06916849315166473,0.06663620471954346,0.06552257388830185,0.06350582838058472,0.0636972188949585,0.11662483215332031,0.11022812128067017,0.1113753467798233,0.10495221614837646,0.12011714279651642,0.08749944716691971,0.08734751492738724,0.08772845566272736,0.09161491692066193,0.08251199871301651,0.39922022819519043
1987,GA,46810,50930,49904,48788,50391,51515,51938,54002,56925,59181,57914,58439,57944,55415,60003,60571,57190,56456,55244,55140,54172,52140,51024,48410,51916,54305,39765,40359,40383,42654,246823,847877,475128,0.18965007364749908,0.2063421905040741,0.20218537747859955,0.19766391813755035,0.20415844023227692,0.06075763329863548,0.0612565279006958,0.06369084119796753,0.06713827699422836,0.0697990357875824,0.06830471754074097,0.06892391294240952,0.06834010034799576,0.06535735726356506,0.07076852023601532,0.07143842428922653,0.06745082139968872,0.06658513098955154,0.06515567749738693,0.06503301858901978,0.114015594124794,0.10973884910345078,0.10739000886678696,0.10188833624124527,0.10926739871501923,0.11429551243782043,0.0836932361125946,0.08494342863559723,0.08499393612146378,0.08977369964122772,0.40182235836982727
1988,GA,45015,47939,52479,50551,52187,50898,51010,51642,55470,58862,58216,58437,59623,55859,61038,60675,59252,57355,56573,56892,55300,52869,52784,48334,52730,51537,54066,40133,40484,41064,248171,851802,489301,0.1813870221376419,0.1931692212820053,0.211463063955307,0.20369422435760498,0.2102864533662796,0.05975332111120224,0.05988480895757675,0.060626763850450516,0.06512076407670975,0.06910291314125061,0.06834451854228973,0.06860397011041641,0.06999631226062775,0.0655774474143982,0.07165750116109848,0.07123134285211563,0.06956076622009277,0.06733372062444687,0.06641566753387451,0.06679017096757889,0.11301836371421814,0.10805005580186844,0.10787633806467056,0.09878173470497131,0.10776598006486893,0.10532780736684799,0.1104964017868042,0.0820210874080658,0.08273843675851822,0.08392380177974701,0.4139806628227234
1989,GA,44099,46008,49264,52704,53737,52092,50366,50390,52844,57238,58468,58597,59423,57280,61548,60789,59141,59108,57430,58100,56599,53881,53556,49867,52928,52293,51122,54252,39931,40938,245812,852814,505367,0.17940133810043335,0.1871674358844757,0.20041333138942719,0.2144077569246292,0.21861015260219574,0.06108248606324196,0.059058599174022675,0.059086740016937256,0.06196427345275879,0.0671166256070137,0.06855890899896622,0.06871017813682556,0.06967873126268387,0.06716587394475937,0.07217048853635788,0.07128048688173294,0.06934806704521179,0.06930936872959137,0.06734176725149155,0.06812740117311478,0.11199583858251572,0.10661756992340088,0.1059744730591774,0.09867482632398605,0.10473180562257767,0.10347529500722885,0.10115817189216614,0.10735169053077698,0.07901386171579361,0.0810064747929573,0.43301790952682495
1990,GA,45130,45020,47119,49101,55568,54367,51344,49546,51394,54538,57686,58964,59780,57515,62621,61881,59494,59565,59628,59185,58154,55392,54711,51110,53985,53090,51503,51142,54069,40364,241938,857508,523520,0.18653538823127747,0.18608072400093079,0.19475650787353516,0.2029486894607544,0.229678675532341,0.06340115517377853,0.05987582728266716,0.05777905136346817,0.059934135526418686,0.0636005699634552,0.06727167218923569,0.06876204162836075,0.06971363723278046,0.06707225739955902,0.07302672415971756,0.07216376066207886,0.06938011199235916,0.06946291029453278,0.06953638046979904,0.06901976466178894,0.11108267307281494,0.10580684244632721,0.10450603812932968,0.09762759506702423,0.10311926901340485,0.10140968859195709,0.09837828576564789,0.0976887196302414,0.1032797247171402,0.07710116356611252,0.4326273798942566
1991,GA,44028,45386,46332,46935,52741,56236,54050,50722,50197,53380,55111,58630,60982,58758,64103,63465,61841,60996,60576,62456,59701,57687,56628,52829,56384,53257,52138,51574,51242,55901,235422,871503,547341,0.18701735138893127,0.19278572499752045,0.19680403172969818,0.19936539232730865,0.22402748465538025,0.06452760100364685,0.06201929226517677,0.05820060148835182,0.05759819597005844,0.061250507831573486,0.06323672831058502,0.06727458536624908,0.06997336447238922,0.06742145121097565,0.07355453819036484,0.072822466492652893,0.07095902413129807,0.06998943537473679,0.06950750946998596,0.07166469842195511,0.10907460004091263,0.10539498925209045,0.10346018522977829,0.0965193510055542,0.10301439464092255,0.09730131924152374,0.09525688737630844,0.09422644972801208,0.09361988306045532,0.10213194042444229,0.4233928918838501
1992,GA,46930,44696,46955,46436,50424,53667,55913,53672,51660,52241,54279,56069,60805,60213,64951,65119,63352,63324,61863,63261,63074,59155,58831,55033,57710,55901,52224,52308,51746,52810,235441,880389,558792,0.19932806491851807,0.18983949720859528,0.19943425059318542,0.19722987711429596,0.21416831016540527,0.06095828115940094,0.06350942701101303,0.060963958501815796,0.058678608387708664,0.05933854356408119,0.06165342777967453,0.06368661671876907,0.06906606256961823,0.06839363276958466,0.07377534359693527,0.07396616786718369,0.07195910066366196,0.07192729413509369,0.07026780396699905,0.07185573875904083,0.11287563294172287,0.10586228966712952,0.10528246313333511,0.09848566353321075,0.10327634960412979,0.10003901273012161,0.09345874935388565,0.09360907226800919,0.09260333329439163,0.09450744092464447,0.41139817237854004
1993,GA,48532,47705,46030,47207,49769,51515,53355,55771,54762,53736,53439,55160,58275,60284,66058,66246,64936,64724,64007,64369,63973,62484,60150,57486,59503,57475,54750,52427,52540,53116,239243,886637,573904,0.20285651087760925,0.19939976930618286,0.19239851832389832,0.1973182111978531,0.20802699029445648,0.05810156837105751,0.060176827013492584,0.06290172785520554,0.06176372244954109,0.060606539249420166,0.06027156487107277,0.06221260875463486,0.0657258853316307,0.06799174845218658,0.07450399547815323,0.07471603155136108,0.0732385441660881,0.07299943268299103,0.07219076156616211,0.07259904593229294,0.11146986484527588,0.1088753491640091,0.10480847209692001,0.10016658157110214,0.10368110239505768,0.10014741122722626,0.09539923071861267,0.09135151654481888,0.09154841303825378,0.0925520658493042,0.40534520149230957
