year,stname,pop,pop15,pop16,pop17,pop18,pop19,pop20,pop21,pop22,pop23,pop24,pop25,pop26,pop27,pop28,pop29,pop30,pop31,pop32,pop33,pop34,pop35,pop36,pop37,pop38,pop39,pop40,pop41,pop42,pop43,pop44,pop1519,pop2024,pop2534,pop2034,pop3544,pop45plus,popwhitenh1519,popwhitenh2024,popwhitenh2534,popwhitenh2034,popwhitenh3544,popwhitenh45plus,popblacknh1519,popblacknh2024,popblacknh2534,popblacknh2034,popblacknh3544,popblacknh45plus,pophispanic1519,pophispanic2024,pophispanic2534,pophispanic2034,pophispanic3544,pophispanic45plus,popotherrace1519,popotherrace2024,popotherrace2534,popotherrace2034,popotherrace3544,popotherrace45plus,pctpop15,pctpop16,pctpop17,pctpop18,pctpop19,pctpop20,pctpop21,pctpop22,pctpop23,pctpop24,pctpop25,pctpop26,pctpop27,pctpop28,pctpop29,pctpop30,pctpop31,pctpop32,pctpop33,pctpop34,pctpop35,pctpop36,pctpop37,pctpop38,pctpop39,pctpop40,pctpop41,pctpop42,pctpop43,pctpop44,pctpop1819,pop2045plus,popwhite1544,popblack1544,pophispanic1544
2000,AK,141164,5475,5103,5159,4195,3848,3914,3725,3716,3756,3714,4019,3954,4029,4098,4524,4530,4420,4337,4414,4597,5079,5188,5499,5595,5689,5778,5583,5791,5863,5572,23780,18825,42922,61747,55637,0,15421,12163,29484,41647,40769,40769,963,981,1755,2736,1918,0,1130,1047,2115,3162,1976,0,6266,4634,9568,14202,10974,0,0.2302354872226715,0.2145920991897583,0.2169470191001892,0.17640875279903412,0.16181665658950806,0.06338769197463989,0.060326818376779556,0.060181062668561935,0.06082886457443237,0.06014867126941681,0.0650881826877594,0.06403549760580063,0.06525013595819473,0.06636759638786316,0.07326671481132507,0.07336388528347015,0.07158242166042328,0.07023823261260986,0.0714852511882782,0.07444895803928375,0.09128817170858383,0.09324730187654495,0.09883710741996765,0.10056257247924805,0.10225209593772888,0.10385175049304962,0.1003468930721283,0.10408540815114975,0.10537951439619064,0.10014918446540833,0.33822542428970337,117384,97837,5617,6268
2001,AK,140629,5446,5480,5063,4733,3899,3974,4101,3894,3855,3844,3826,4014,3952,3926,4091,4532,4524,4481,4365,4424,4636,5021,5157,5459,5510,5677,5681,5550,5726,5788,24621,19668,42135,61803,54205,0,15764,12626,28746,41372,39303,39303,1060,1046,1747,2793,1834,0,1242,1175,2295,3470,1968,0,6555,4821,9347,14168,11100,0,0.22119328379631042,0.22257421910762787,0.20563746988773346,0.19223427772521973,0.15836074948310852,0.06430108845233917,0.06635600328445435,0.06300664693117142,0.06237561255693436,0.06219762936234474,0.06190637871623039,0.06494830548763275,0.06394511461257935,0.06352442502975464,0.06619419902563095,0.07332977652549744,0.07320033013820648,0.07250457257032394,0.07062763720750809,0.07158228754997253,0.08552716672420502,0.0926298275589943,0.09513882547616959,0.10071026533842087,0.1016511395573616,0.10473203659057617,0.1048058271408081,0.10238907486200333,0.10563600808382034,0.10677981376647949,0.35059502720832825,116008,96439,5687,6680
2002,AK,140489,5340,5418,5464,4640,4353,4108,4127,4302,4104,4028,3942,3944,3994,3958,4014,4153,4489,4546,4512,4373,4517,4546,5046,5157,5430,5551,5556,5663,5521,5693,25215,20669,41925,62594,52680,0,15877,13180,28492,41672,37801,37801,1118,1122,1736,2858,1788,0,1346,1275,2438,3713,1998,0,6874,5092,9259,14351,11093,0,0.2117787003517151,0.2148721069097519,0.21669641137123108,0.18401744961738586,0.17263533174991608,0.06562929600477219,0.06593284010887146,0.06872863322496414,0.06556539237499237,0.06435121595859528,0.06297728419303894,0.06300923228263855,0.06380803138017654,0.0632328987121582,0.06412754952907562,0.06634820997714996,0.07171613723039627,0.07262676954269409,0.07208358496427536,0.06986292451620102,0.08574411273002625,0.08629460632801056,0.09578587859869003,0.09789294004440308,0.10307516902685165,0.10537205636501312,0.10546696931123734,0.10749810189008713,0.10480257868766785,0.1080675795674324,0.35665279626846313,115274,95350,5764,7057
2003,AK,140642,5521,5325,5352,5056,4260,4588,4321,4254,4413,4207,4198,4051,3972,3985,4028,4074,4111,4591,4600,4497,4446,4441,4495,5060,5128,5530,5432,5574,5635,5497,25514,21783,42107,63890,51238,0,15929,13706,28533,42239,36501,36501,1097,1203,1736,2939,1761,0,1347,1490,2501,3991,2014,0,7141,5384,9337,14721,10962,0,0.21639099717140198,0.20870894193649292,0.2097671926021576,0.19816571474075317,0.16696715354919434,0.07181092351675034,0.06763187050819397,0.06658318638801575,0.06907184422016144,0.06584755331277847,0.06570668518543243,0.06340585649013519,0.062169354408979416,0.062372829765081406,0.06304585933685303,0.06376584619283676,0.06434496492147446,0.07185787707567215,0.07199874520301819,0.070386603474617,0.08677154034376144,0.08667395263910294,0.0877278596162796,0.09875483065843582,0.10008197277784348,0.10792770981788635,0.10601506382226944,0.1087864488363266,0.10997696965932846,0.10728365927934647,0.3651328682899475,115128,94669,5797,7352
2004,AK,141321,5449,5491,5247,4968,4589,4452,4764,4527,4454,4691,4348,4261,4123,3942,4078,4119,4092,4217,4663,4533,4585,4396,4474,4505,4998,5261,5394,5455,5596,5649,25744,22888,42376,65264,50313,0,15792,14529,28539,43068,35645,35645,1117,1166,1722,2888,1688,0,1439,1551,2604,4155,2117,0,7396,5642,9511,15153,10863,0,0.2116609662771225,0.2132924199104309,0.20381447672843933,0.19297701120376587,0.1782551258802414,0.0682152509689331,0.07299583405256271,0.06936442852020264,0.06824589520692825,0.07187730073928833,0.06662172079086304,0.06528867036104202,0.06317418813705444,0.0604008324444294,0.062484677881002426,0.06311289221048355,0.06269919127225876,0.06461448967456818,0.07144827395677567,0.06945636123418808,0.09112952649593353,0.0873730480670929,0.08892334252595901,0.08953948318958282,0.09933814406394958,0.10456541925668716,0.10720887035131454,0.10842128098011017,0.1112237423658371,0.11227714270353317,0.37123215198516846,115577,94505,5693,7711
2005,AK,141584,5843,5409,5434,4903,4413,4697,4536,4953,4705,4700,4706,4468,4372,4076,4068,4150,4056,4213,4271,4618,4588,4465,4395,4446,4488,5092,5060,5412,5445,5602,26002,23591,42998,66589,48993,0,15805,14930,28842,43772,34491,34491,1084,1156,1700,2856,1563,0,1485,1577,2782,4359,2141,0,7628,5928,9674,15602,10798,0,0.2247134894132614,0.20802246034145355,0.20898392796516418,0.18856242299079895,0.1697177141904831,0.07053717225790024,0.0681193619966507,0.07438165694475174,0.07065731287002563,0.07058222591876984,0.07067233324050903,0.06709817051887512,0.06565649062395096,0.06121131032705307,0.06109116971492767,0.06232260540127754,0.06091096252202988,0.06326870620250702,0.064139723777771,0.06935079395771027,0.09364603459835052,0.09113546460866928,0.08970668911933899,0.0907476544380188,0.09160492569208145,0.10393321514129639,0.10328005999326706,0.11046475917100906,0.11113832890987396,0.11434286832809448,0.35828012228012085,115582,94068,5503,7985
2006,AK,142365,5680,5874,5373,5067,4329,4513,4900,4730,5167,4951,4773,4787,4407,4378,4190,4137,4101,4173,4316,4293,4791,4519,4529,4422,4477,4630,4901,5051,5429,5477,26323,24261,43555,67816,48226,0,15877,15275,29152,44427,33751,33751,1150,1177,1765,2942,1519,0,1486,1613,2842,4455,2283,0,7810,6196,9796,15992,10673,0,0.21578086912631989,0.2231508493423462,0.20411807298660278,0.1924932599067688,0.16445693373680115,0.06654771417379379,0.07225433737039566,0.06974755227565765,0.07619146257638931,0.07300636917352676,0.07038161903619766,0.07058805972337723,0.06498466432094574,0.0645570382475853,0.06178482994437218,0.06100330129265785,0.060472454875707626,0.061534151434898376,0.06364279985427856,0.063303641974926,0.09934475272893906,0.09370464086532593,0.09391199797391891,0.09169327467679977,0.0928337424993515,0.09600630402565002,0.10162568092346191,0.10473603755235672,0.11257413029670715,0.11356944590806961,0.35695019364356995,116042,94055,5611,8224
2007,AK,141687,5338,5650,5666,4997,4404,4450,4589,5098,4817,5382,4929,4853,4811,4308,4497,4245,4013,4225,4249,4241,4407,4749,4523,4523,4409,4692,4314,4877,5012,5419,26055,24336,44371,68707,46925,0,15591,15129,29574,44703,32604,32604,1136,1168,1766,2934,1518,0,1590,1649,3013,4662,2231,0,7738,6390,10018,16408,10572,0,0.20487430691719055,0.2168489694595337,0.21746306121349335,0.19178660213947296,0.16902706027030945,0.06476778537034988,0.0667908638715744,0.0741991326212883,0.0701093077659607,0.07833263278007507,0.07173941284418106,0.07063326984643936,0.07002197951078415,0.0627010315656662,0.06545184552669525,0.06178409606218338,0.05840744078159332,0.061493005603551865,0.06184231489896774,0.061725880950689316,0.09391582012176514,0.101204052567482,0.09638785570859909,0.09638785570859909,0.09395844489336014,0.09998934715986252,0.09193393588066101,0.10393180698156357,0.10680873692035675,0.1154821515083313,0.3608136773109436,115632,92898,5588,8483
2008,AK,140747,5198,5260,5399,5435,4393,4568,4565,4691,5136,5024,5231,5037,4799,4784,4472,4587,4148,4090,4280,4135,4371,4266,4731,4514,4448,4557,4394,4340,4886,5008,25685,23984,45563,69547,45515,0,15318,14883,30199,45082,31459,31459,1181,1047,1847,2894,1441,0,1592,1598,3076,4674,2300,0,7594,6456,10441,16897,10315,0,0.2023749202489853,0.20478878915309906,0.2102005034685135,0.2116021066904068,0.17103368043899536,0.06568220257759094,0.06563906371593475,0.06745079159736633,0.07384934276342392,0.07223891466856003,0.07521532475948334,0.07242584228515625,0.06900369375944138,0.06878801435232162,0.06430184096097946,0.06595540046691895,0.05964311957359314,0.058809150010347366,0.0615411177277565,0.059456195682287216,0.09603427350521088,0.09372734278440475,0.10394375771284103,0.09917609393596649,0.09772602468729019,0.10012084245681763,0.09653960168361664,0.09535317867994308,0.1073492243885994,0.1100296601653099,0.38263577222824097,115062,91859,5516,8566
2009,AK,142508,5186,5268,5190,5223,4735,4580,4798,4759,4741,5484,5006,5366,5143,4790,4978,4606,4553,4423,4263,4240,4379,4282,4329,4770,4508,4707,4314,4461,4405,5021,25602,24362,47368,71730,45176,0,15229,14838,31406,46244,30970,30970,1142,1081,1924,3005,1445,0,1714,1713,3095,4808,2385,0,7517,6730,10943,17673,10376,0,0.20256230235099792,0.20576517283916473,0.20271854102611542,0.20400750637054443,0.18494649231433868,0.06385055184364319,0.06688972562551498,0.06634601950645447,0.06609507650136948,0.07645336538553238,0.06978949159383774,0.07480830699205399,0.07169942557811737,0.06677819788455963,0.06939913332462311,0.06421302258968353,0.063474141061306,0.06166178733110428,0.05943119898438454,0.059110552072525024,0.09693200141191483,0.09478484094142914,0.09582521766424179,0.10558703541755676,0.09978749603033066,0.10419248789548874,0.09549318253993988,0.098747119307518,0.0975075289607048,0.1111430823802948,0.3889539837837219,116906,92443,5592,8907
2010,AK,143896,5048,5140,5142,4923,4599,4865,4812,5015,5018,5248,5465,5297,5396,5153,5081,5123,4641,4582,4518,4258,4423,4255,4274,4378,4702,4845,4441,4315,4413,4526,24852,24958,49514,74472,44572,0,14643,15189,32878,48067,30413,30413,1162,1118,1929,3047,1425,0,1756,1757,3203,4960,2480,0,7291,6894,11504,18398,10254,0,0.20312248170375824,0.2068244069814682,0.20690487325191498,0.19809271395206451,0.18505552411079407,0.06532656401395798,0.06461489200592041,0.06734074652194977,0.06738103181123734,0.0704694390296936,0.07338328659534454,0.07112740725278854,0.07245676219463348,0.06919378787279129,0.06822698563337326,0.06879095733165741,0.062318723648786545,0.06152648106217384,0.06066709756851196,0.05717585235834122,0.09923270344734192,0.09546352177858353,0.09588979929685593,0.09822309762239456,0.1054922342300415,0.10870052874088287,0.09963653981685638,0.09680965542793274,0.09900834411382675,0.10154356807470322,0.3831482529640198,119044,93123,5634,9196
2011,AK,145337,4924,5043,5125,4608,4486,4957,5123,5148,5272,5147,5476,5644,5407,5430,5338,5176,5136,4644,4590,4561,4253,4401,4202,4232,4359,4715,4779,4463,4292,4406,24186,25647,51402,77049,44102,0,14163,15428,33899,49327,29902,29902,1156,1196,2014,3210,1456,0,1785,1897,3474,5371,2555,0,7082,7126,12015,19141,10189,0,0.20358885824680328,0.20850905776023865,0.21189944446086884,0.1905234456062317,0.18547920882701874,0.06433568149805069,0.06649015843868256,0.06681462377309799,0.06842398643493652,0.06680164486169815,0.07107165455818176,0.07325208932161331,0.0701761245727539,0.07047463208436966,0.06928058713674545,0.06717802584171295,0.0666588768362999,0.06027333438396454,0.059572480618953705,0.059196095913648605,0.0964355394244194,0.09979139268398285,0.09527912735939026,0.0959593653678894,0.09883905202150345,0.10691124945878983,0.10836242884397507,0.10119722783565521,0.09731984883546829,0.09990476816892624,0.3760026693344116,121151,93392,5822,9711
2012,AK,146580,4956,4912,5011,4543,4134,4855,5131,5429,5441,5436,5305,5576,5709,5439,5506,5369,5164,5163,4642,4594,4573,4233,4421,4191,4295,4370,4711,4766,4441,4264,23556,26292,52467,78759,44265,0,13595,15581,34249,49830,29731,29731,1184,1303,2081,3384,1513,0,1826,2063,3721,5784,2750,0,6951,7345,12416,19761,10271,0,0.21039225161075592,0.20852436125278473,0.2127271145582199,0.19285957515239716,0.1754966825246811,0.061643749475479126,0.06514810770750046,0.06893180310726166,0.06908416748046875,0.06902068108320236,0.0673573836684227,0.07079825550317764,0.07248695194721222,0.06905877590179443,0.06990946829319,0.0681699886918068,0.06556711345911026,0.0655544102191925,0.05893929675221443,0.05832984298467636,0.10330960899591446,0.09562859684228897,0.09987574815750122,0.09467977285385132,0.09702925384044647,0.09872359782457352,0.10642720013856888,0.10766971856355667,0.10032757371664047,0.09632892906665802,0.36835625767707825,123024,93156,6081,10360
2013,AK,147606,4859,4887,4886,4432,4099,4478,5082,5576,5766,5649,5683,5474,5660,5734,5498,5519,5341,5150,5132,4653,4572,4515,4178,4348,4170,4227,4317,4638,4719,4364,23163,26551,53844,80395,44048,0,13145,15683,34775,50458,29321,29321,1207,1380,2168,3548,1485,0,1854,2136,3994,6130,2823,0,6957,7352,12907,20259,10419,0,0.2097742110490799,0.2109830379486084,0.21093985438346863,0.1913396418094635,0.17696325480937958,0.05569998174905777,0.06321288645267487,0.06935754418373108,0.07172087579965591,0.07026556134223938,0.07068847864866257,0.06808881461620331,0.07040239125490189,0.07132284343242645,0.06838733702898026,0.06864854693412781,0.06643448024988174,0.06405871361494064,0.06383481621742249,0.05787673220038414,0.1037958562374115,0.10250181704759598,0.0948510691523552,0.09871049970388412,0.09466945379972458,0.0959634929895401,0.0980067178606987,0.10529422760009766,0.10713312774896622,0.09907373785972595,0.3683028817176819,124443,92924,6240,10807
2014,AK,147007,4799,4791,4876,4324,4011,4445,4637,5310,5691,5868,5679,5654,5465,5711,5729,5440,5491,5284,5101,5116,4588,4504,4427,4162,4318,4075,4142,4192,4556,4621,22801,25951,54670,80621,43585,0,12801,15118,34980,50098,28778,28778,1207,1326,2234,3560,1452,0,1915,2213,4191,6404,2935,0,6878,7294,13265,20559,10420,0,0.2104732245206833,0.21012236177921295,0.21385027468204498,0.1896408051252365,0.17591333389282227,0.055134519934654236,0.057516030967235565,0.06586373597383499,0.07058954983949661,0.07278500497341156,0.07044070214033127,0.0701306089758873,0.067786306142807,0.07083762437105179,0.07106088846921921,0.06747621297836304,0.06810880452394485,0.06554123759269714,0.06327135860919952,0.0634574145078659,0.10526557266712189,0.10333830118179321,0.10157164186239243,0.09549156576395035,0.09907077997922897,0.09349546581506729,0.0950326919555664,0.09617988020181656,0.10453137755393982,0.10602271556854248,0.36555415391921997,124206,91677,6219,11254
2015,AK,146494,4854,4763,4752,4258,3778,4310,4664,4891,5593,5838,5934,5717,5669,5419,5734,5662,5384,5402,5241,5097,5059,4523,4457,4410,4168,4219,4013,4071,4166,4448,22405,25296,55259,80555,43534,0,12417,14639,34959,49598,28560,28560,1193,1344,2228,3572,1475,0,1840,2236,4324,6560,2954,0,6955,7077,13748,20825,10545,0,0.21664807200431824,0.21258647739887238,0.21209551393985748,0.19004686176776886,0.16862307488918304,0.053503818809986115,0.05789833143353462,0.060716282576322556,0.06943082064390182,0.0724722221493721,0.07366395741701126,0.07097014784812927,0.07037428021430969,0.06727080792188644,0.07118117809295654,0.07028738409280777,0.06683631986379623,0.06705977022647858,0.06506113708019257,0.06327354162931442,0.1162080243229866,0.10389580577611923,0.10237974673509598,0.10130013525485992,0.09574125707149506,0.09691275656223297,0.09218082576990128,0.0935131162405014,0.09569531679153442,0.10217301547527313,0.3586699366569519,124089,90575,6240,11354
2016,AK,147012,4775,4854,4754,4206,3803,4124,4473,4893,5080,5748,6019,6052,5790,5716,5481,5687,5671,5349,5407,5227,5094,5039,4533,4468,4400,4117,4158,3954,4035,4105,22392,24318,56399,80717,43903,0,12254,13884,35291,49175,28506,28506,1233,1363,2283,3646,1547,0,1875,2242,4491,6733,3080,0,7030,6829,14334,21163,10770,0,0.21324580907821655,0.2167738527059555,0.21230795979499817,0.1878349483013153,0.16983744502067566,0.05109208822250366,0.05541583523154259,0.06061920151114464,0.06293593347072601,0.07121176272630692,0.07456917315721512,0.07497800886631012,0.07173210382461548,0.0708153173327446,0.06790391355752945,0.07045603543519974,0.07025781273841858,0.06626857072114944,0.06698712706565857,0.06475711613893509,0.11602851748466492,0.11477575451135635,0.10325034707784653,0.1017698124051094,0.1002209410071373,0.09377491474151611,0.09470879286527634,0.09006218612194061,0.09190715849399567,0.09350158274173737,0.35767239332199097,124620,89935,6426,11688
