statefip,avg_grossrent,cost_burd,moderate_cb,severe_cb,avg_grossrent_hisp,year
1,698.018798828125,0.4172013998031616,0.20725208520889282,0.2099493145942688,694.54180908203125,2019
2,1067.9072265625,0.39573341608047485,0.19149388372898102,0.20423951745033264,1158.826171875,2019
4,958.2608642578125,0.45304980874061584,0.23194660246372223,0.2211032211780548,854.194091796875,2019
5,660.4403076171875,0.41893258690834045,0.2125815600156784,0.20635102689266205,687.6622314453125,2019
6,1502.1990966796875,0.5192993879318237,0.24971646070480347,0.26958295702934265,1317.4749755859375,2019
8,1206.9791259765625,0.483565092086792,0.24675635993480682,0.23680873215198517,1074.107666015625,2019
9,1152.365234375,0.4633702337741852,0.22399206459522247,0.2393781840801239,1027.9423828125,2019
10,1009.9551391601563,0.44265154004096985,0.23333822190761566,0.2093133181333542,994.8226318359375,2019
11,1590.1484375,0.42016372084617615,0.2049643099308014,0.21519941091537476,1587.4482421875,2019
12,1125.807373046875,0.5279247760772705,0.2577247619628906,0.2701999843120575,1157.6790771484375,2019
13,936.95855712890625,0.456901490688324,0.23520536720752716,0.22169610857963562,963.03607177734375,2019
15,1475.6666259765625,0.49265703558921814,0.24534712731838226,0.24730989336967468,1572.9407958984375,2019
16,754.280517578125,0.4436770975589752,0.24136731028556824,0.20230978727340698,696.34210205078125,2019
17,1031.2523193359375,0.4335291385650635,0.21610437333583832,0.21742476522922516,1002.945556640625,2019
18,777.9212646484375,0.420766681432724,0.21443168818950653,0.20633499324321747,783.2894287109375,2019
19,758.2413330078125,0.39548036456108093,0.19597379863262177,0.19950656592845917,721.1397705078125,2019
20,801.91119384765625,0.40462106466293335,0.2150169461965561,0.18960410356521606,776.3931884765625,2019
21,682.94317626953125,0.39313820004463196,0.19931313395500183,0.19382506608963013,744.189697265625,2019
22,778.4801025390625,0.47373297810554504,0.2317301332950592,0.24200285971164703,856.7568359375,2019
23,797.0174560546875,0.42235323786735535,0.2370668649673462,0.18528635799884796,888.2772216796875,2019
24,1289.958251953125,0.46809884905815125,0.2358110547065735,0.23228779435157776,1419.413818359375,2019
25,1302.12158203125,0.44935232400894165,0.22759997844696045,0.2217523455619812,1098.4637451171875,2019
26,833.53558349609375,0.44118019938468933,0.21766223013401031,0.22351796925067902,804.487548828125,2019
27,984.36505126953125,0.42662331461906433,0.21133488416671753,0.2152884304523468,944.89923095703125,2019
28,651.64617919921875,0.41963306069374084,0.20632627606391907,0.21330678462982178,736.914794921875,2019
29,780.25616455078125,0.4130329191684723,0.2147340476512909,0.1982988864183426,790.34014892578125,2019
30,763.3095703125,0.4122059941291809,0.19651466608047485,0.21569131314754486,730.1044921875,2019
31,807.36248779296875,0.38215288519859314,0.19718165695667267,0.18497124314308167,736.1964111328125,2019
32,992.5323486328125,0.4814144968986511,0.2516046166419983,0.22980988025665283,930.34222412109375,2019
33,1075.1051025390625,0.4294145703315735,0.23237349092960358,0.1970410794019699,1079.6783447265625,2019
34,1316.686279296875,0.4636429250240326,0.2221352756023407,0.2415076494216919,1199.9815673828125,2019
35,746.644287109375,0.4479917287826538,0.2204529196023941,0.2275388091802597,676.83660888671875,2019
36,1352.9444580078125,0.48017752170562744,0.2183724194765091,0.26180511713027954,1227.7919921875,2019
37,836.66351318359375,0.4365852475166321,0.22913452982902527,0.20745070278644562,826.7271728515625,2019
38,794.96142578125,0.3681471645832062,0.19606412947177887,0.1720830202102661,757.21197509765625,2019
39,776.4442138671875,0.40739724040031433,0.20416510105133057,0.20323212444782257,772.91943359375,2019
40,720.66192626953125,0.40826109051704407,0.2138538658618927,0.19440722465515137,733.3541259765625,2019
41,1063.69287109375,0.47489306330680847,0.23651954531669617,0.2383735179901123,1010.1271362304688,2019
42,932.41595458984375,0.4270875155925751,0.2094152271747589,0.21767230331897736,904.8214111328125,2019
44,936.09088134765625,0.41583573818206787,0.21309995651245117,0.2027357816696167,790.365234375,2019
45,821.961181640625,0.448365718126297,0.22695831954479218,0.22140739858150482,838.3602294921875,2019
46,722.0263671875,0.38565587997436523,0.197393000125885,0.18826289474964142,656.4820556640625,2019
47,806.42108154296875,0.42664414644241333,0.22616001963615417,0.20048414170742035,853.07470703125,2019
48,1000.4046020507813,0.44378599524497986,0.23168374598026276,0.2121022492647171,882.29595947265625,2019
49,939.18707275390625,0.42170581221580505,0.22400353848934174,0.19770227372646332,921.90631103515625,2019
50,957.1246337890625,0.4430956244468689,0.2147558033466339,0.22833982110023499,1082.349365234375,2019
51,1193.376953125,0.44550472497940063,0.23446024954319,0.21104446053504944,1366.8609619140625,2019
53,1229.413818359375,0.4472852051258087,0.233571857213974,0.21371334791183472,1104.19482421875,2019
54,598.3221435546875,0.39961040019989014,0.2049308866262436,0.19467949867248535,681.01190185546875,2019
55,845.316650390625,0.4068982005119324,0.21728500723838806,0.18961317837238312,805.5509033203125,2019
56,758.02239990234375,0.383074015378952,0.19577482342720032,0.18729917705059052,776.80126953125,2019
1,630.811767578125,0.4126679301261902,0.19763194024562836,0.21503598988056183,684.64727783203125,2004
2,966.93707275390625,0.3583797514438629,0.19818496704101563,0.1601947844028473,1064.9964599609375,2004
4,902.10174560546875,0.4585159718990326,0.23377619683742523,0.22473978996276855,816.1524658203125,2004
5,622.3834228515625,0.41603362560272217,0.2063327133655548,0.20970091223716736,660.388916015625,2004
6,1284.251708984375,0.5021665096282959,0.24558806419372559,0.2565784454345703,1141.352783203125,2004
8,921.88336181640625,0.4521442651748657,0.22602683305740356,0.22611744701862335,852.02850341796875,2004
