year,parental,delay,sexed,sexedcont,stname,unemp,contmand,aca_mcaid_exp,logben3,tadexpmil,logrstateminwage,sexed1mis,sexed2mis,pctwhitenh,pcthisp,pcthsdrop,pcthsgrad,pctsomecol,pctmarried
2008,1,0,1,1,AL,5,0,0,5.367074012756348,62.37804412841797,1.7628775835037231,0,0,67.44454193115234,2.708153247833252,19.82137680053711,33.390953063964844,26.76462173461914,53.78853225708008
2009,1,0,1,1,AL,9.699999809265137,0,0,5.370637893676758,68.3624267578125,1.879465103149414,0,0,69.11602783203125,2.7071824073791504,18.784530639648438,34.281768798828125,26.685081481933594,54.751380920410156
2010,1,0,1,1,AL,10.5,0,0,5.354368209838867,68.95333099365234,1.9647318124771118,0,0,70.075653076171875,2.88596248626709,19.641355514526367,34.40739822387695,26.618101119995117,53.65648651123047
2011,1,0,1,1,AL,9.600000381469727,0,0,5.323291301727295,69.25780487060547,1.9336544275283813,0,0,70.99129486083984,2.4150519371032715,19.34849739074707,33.36141586303711,26.818309783935547,52.9907341003418
2012,1,0,1,1,AL,8,0,0,5.302807807922363,66.34114837646484,1.9131712913513184,0,0,70.948272705078125,2.471264362335205,17.38505744934082,33.41954040527344,26.264368057250977,54.54022979736328
2013,1,0,1,1,AL,7.199999809265137,0,0,5.288266181945801,60.715728759765625,1.8986297845840454,0,0,69.43963623046875,2.9462738037109375,17.331022262573242,32.842288970947266,26.949739456176758,54.76603317260742
2014,1,0,1,1,AL,6.800000190734863,0,0,5.272174835205078,69.479644775390625,1.8825381994247437,0,0,69.62457275390625,2.8035104274749756,17.381765365600586,31.862504959106445,27.937589645385742,53.973670959472656
2015,1,0,1,1,AL,6.099999904632568,0,0,5.270988464355469,68.02816009521484,1.8813518285751343,0,0,71.79927825927734,2.7839834690093994,17.82093048095703,32.118919372558594,27.014949798583984,54.27049255371094
2016,1,0,1,1,AL,5.800000190734863,0,0,5.25845193862915,54.622440338134766,1.868815541267395,0,0,69.91287994384766,2.644679546356201,17.17486000061035,31.985065460205078,27.58245277404785,52.48910903930664
2017,1,0,1,1,AL,4.400000095367432,0,0,5.237372398376465,81.68541717529297,1.84773588180542,0,0,71.23095703125,2.44016170501709,15.697854995727539,32.88778305053711,27.292509078979492,53.326080322265625
2018,1,0,1,1,AL,3.9000000953674316,0,0,5.213241100311279,67.91642761230469,1.8236044645309448,0,0,71.74443054199219,2.975126028060913,14.82685661315918,32.35246276855469,28.304340362548828,53.29214859008789
2019,1,0,1,1,AL,3,0,0,5.19528341293335,68.07447814941406,1.8056470155715942,0,0,71.286956787109375,3.057795763015747,14.482526779174805,32.49327850341797,27.301748275756836,53.9482536315918
2001,1,1,0,0,AR,4.699999809265137,0,0,5.5098876953125,47.56989669799805,1.8307644128799438,0,0,81.03179168701172,2.4231371879577637,22.642000198364258,37.545597076416016,24.28348159790039,59.69255065917969
2002,1,1,0,0,AR,5.300000190734863,0,0,5.494201183319092,53.32554244995117,1.8150779008865356,0,0,80.33137512207031,3.046499252319336,22.50133514404297,37.19935989379883,24.879743576049805,59.32656478881836
2003,1,1,0,0,AR,5.800000190734863,0,0,5.47166633605957,47.676021575927734,1.7925432920455933,0,0,79.250335693359375,2.757697343826294,22.650602340698242,35.90361404418945,25.890226364135742,58.63454055786133
2004,1,1,0,0,AR,5.599999904632568,0,0,5.445384502410889,40.96209716796875,1.7662612199783325,0,0,77.70872497558594,3.1883273124694824,21.53472137451172,36.962982177734375,25.749797821044922,58.308563232421875
2005,1,1,0,0,AR,5.099999904632568,0,0,5.412065505981445,46.307373046875,1.7329421043395996,0,0,81.30411529541016,3.598484992980957,21.428571701049805,37.256492614746094,24.24242401123047,58.522727966308594
2006,1,1,0,0,AR,5.300000190734863,1,0,5.380316734313965,44.97194290161133,1.7011934518814087,0,0,78.8814468383789,4.427614688873291,21.002038955688477,36.93562698364258,24.06058692932129,57.82114791870117
2007,1,1,0,0,AR,5.199999809265137,1,0,5.352232456207275,47.968536376953125,1.8666940927505493,0,0,79.0575942993164,4.130308151245117,20.593368530273438,36.91099166870117,26.294355392456055,56.89353942871094
2008,1,1,0,0,AR,5.300000190734863,1,0,5.314556121826172,46.99467849731445,1.8290174007415771,0,0,80.66607666015625,4.155614376068115,19.628646850585938,38.22575759887695,24.60948944091797,57.97229766845703
2009,1,1,0,0,AR,7.400000095367432,1,0,5.318120002746582,48.55006408691406,1.8325815200805664,0,0,81.01081085205078,3.9146947860717773,18.609407424926758,38.095237731933594,25.5623722076416,56.9383544921875
2010,1,1,0,0,AR,8.199999809265137,1,0,5.301850318908691,61.951480865478516,1.8163118362426758,0,0,80.34391021728516,3.8837831020355225,18.381263732910156,36.8811149597168,27.008596420288086,55.02519989013672
2011,1,1,0,0,AR,8.300000190734863,1,0,5.270772933959961,54.351287841796875,1.7852344512939453,0,0,79.26170349121094,4.8019208908081055,17.46698760986328,37.00480270385742,27.01080322265625,55.85234069824219
2012,1,1,0,0,AR,7.599999904632568,1,0,5.2502899169921875,51.2556266784668,1.7647511959075928,0,0,78.46660614013672,4.492362976074219,17.490266799926758,33.72267150878906,27.43336296081543,55.1961669921875
2013,1,1,0,0,AR,7.199999809265137,1,0,5.235748291015625,55.45952224731445,1.7502098083496094,0,0,78.82765197753906,5.511810779571533,17.906095504760742,34.12073516845703,27.238262176513672,54.91396713256836
2014,1,1,0,0,AR,6,1,1,5.219656944274902,56.16259765625,1.734118103981018,0,0,77.13924407958984,7.2151899337768555,18.177215576171875,34.177215576171875,26.86075782775879,54.9620246887207
2015,1,1,0,0,AR,5,1,1,5.218470573425293,52.18802261352539,1.9152534008026123,0,0,78.60553741455078,5.711556434631348,16.04584503173828,35.28175735473633,27.067813873291016,55.56829071044922
2016,1,1,0,0,AR,4,1,1,5.205934047698975,52.03801345825195,1.967255711555481,0,0,78.71173095703125,4.866395473480225,15.023889541625977,34.93186950683594,26.738630294799805,56.9810676574707
2017,1,1,0,0,AR,3.700000047683716,1,1,5.184854507446289,51.28553771972656,2.006800651550293,0,0,78.34229278564453,5.2887115478515625,14.478931427001953,33.032772064208984,28.680421829223633,54.881221771240234
2018,1,1,0,0,AR,3.5999999046325684,1,1,5.1607232093811035,48.96498489379883,1.9826692342758179,0,0,77.59844207763672,5.906350135803223,14.632847785949707,34.249732971191406,27.13728141784668,53.24583435058594
2019,1,1,0,0,AR,3.5,1,1,5.142765522003174,47.24492645263672,2.049269199371338,0,0,77.3077621459961,6.354578018188477,13.893588066101074,34.423763275146484,27.11035919189453,53.58150100708008
2001,0,0,0,0,AZ,4.699999809265137,0,0,6.041092395782471,58.58406448364258,1.8307644128799438,0,0,67.791412353515625,24.445493698120117,20.71731948852539,27.08824920654297,29.28268051147461,55.804622650146484
2002,0,0,0,0,AZ,6,0,0,6.0254058837890625,61.48802185058594,1.8150779008865356,0,0,69.91292572021484,22.914756774902344,19.63794708251953,27.337303161621094,29.766271591186523,57.447296142578125
2003,0,0,0,0,AZ,5.699999809265137,1,0,6.002871036529541,58.99575424194336,1.7925432920455933,0,0,68.10052490234375,24.7226619720459,19.673986434936523,27.779035568237305,30.337331771850586,56.93910217285156
2004,0,0,0,0,AZ,5,1,0,5.976589202880859,63.112674713134766,1.7662612199783325,0,0,64.16343688964844,27.254051208496094,20.08673858642578,27.04861831665039,29.376853942871094,56.26569366455078
2005,0,0,0,0,AZ,4.699999809265137,1,0,5.943270206451416,64.22679138183594,1.7329421043395996,0,0,65.51563262939453,25.244983673095703,20.181987762451172,27.228185653686523,29.421371459960938,54.24638366699219
2006,0,0,0,0,AZ,4.099999904632568,1,0,5.9115214347839355,73.908599853515625,1.7011934518814087,0,0,61.949607849121094,28.490699768066406,21.780078887939453,27.336944580078125,29.14999008178711,53.35531234741211
2007,0,0,0,0,AZ,3.799999952316284,1,0,5.883437633514404,81.449462890625,1.9436551332473755,0,0,62.674556732177734,27.621301651000977,20.757396697998047,26.603551864624023,30.60354995727539,54.46154022216797
2008,0,0,0,0,AZ,5.900000095367432,1,0,5.845760822296143,83.68921661376953,1.92795729637146,0,0,64.013397216796875,25.862957000732422,19.474496841430664,26.19783592224121,29.958786010742188,53.297271728515625
2009,1,1,0,0,AZ,9.699999809265137,1,0,5.627621173858643,72.10945892333984,1.9810014963150024,0,0,62.24188995361328,27.138643264770508,17.940465927124023,26.602306365966797,30.32984733581543,53.17779541015625
2010,1,1,0,0,AZ,10.399999618530273,1,0,5.611351490020752,63.91115951538086,1.9647318124771118,0,0,61.957088470458984,27.681840896606445,17.399267196655273,26.949241638183594,29.98430061340332,52.616432189941406
2011,1,1,0,0,AZ,9.5,1,0,5.5802741050720215,60.68061447143555,1.9473533630371094,0,0,62.721744537353516,27.344146728515625,17.63811492919922,25.519514083862305,30.841358184814453,53.902687072753906
2012,1,1,0,0,AZ,8.300000190734863,1,0,5.556187152862549,62.40528869628906,1.966875433921814,0,0,61.7684326171875,27.84393310546875,17.709651947021484,24.347604751586914,31.568281173706055,53.99037551879883
2013,1,1,0,0,AZ,7.699999809265137,1,0,5.5416460037231445,59.85670471191406,1.9717521667480469,0,0,58.91206741333008,28.809083938598633,18.669132232666016,25.693161010742188,30.208608627319336,52.5745964050293
2014,1,1,0,0,AZ,6.800000190734863,1,1,5.525554180145264,61.825191497802734,1.9683995246887207,0,0,57.526119232177734,30.151947021484375,18.423551559448242,25.49857521057129,29.843305587768555,51.68566131591797
2015,1,1,0,0,AZ,6.099999904632568,1,1,5.524367809295654,66.52723693847656,1.9860224723815918,0,0,56.01890182495117,33.05258560180664,19.14543914794922,24.445356369018555,29.17009162902832,51.37633514404297
2016,1,1,0,0,AZ,5.400000095367432,1,1,5.515435218811035,70.433258056640625,1.9734861850738525,0,0,59.68868637084961,29.255638122558594,16.2442626953125,24.80542755126953,30.313310623168945,52.12532424926758
2017,1,1,0,0,AZ,4.900000095367432,1,1,5.49435567855835,57.082069396972656,2.1693193912506104,0,0,60.51842498779297,29.327335357666016,16.1739501953125,23.243358612060547,30.055700302124023,53.21337127685547
2018,1,1,0,0,AZ,4.699999809265137,1,1,5.470224380493164,66.15393829345703,2.1939783096313477,0,0,59.6875,28.6875,16.104167938232422,23.395832061767578,30.35416603088379,54.1875
2019,1,1,0,0,AZ,4.699999809265137,1,1,5.452266693115234,66.07189178466797,2.3095521926879883,0,0,59.0880012512207,29.107181549072266,14.553590774536133,24.31280517578125,29.93820571899414,52.098873138427734
2001,0,0,1,1,CA,5.400000095367432,1,0,6.661017894744873,808.70947265625,2.0243492126464844,0,0,50.481990814208984,29.24809455871582,23.061080932617188,23.547454833984375,28.380510330200195,52.84812927246094
